brand,fuel,location,model_name,odometer,price,transmission,year
Daihatsu,Bensin,Jakarta Timur ,xenia,62000.0,108 ,Manual,2015
Daihatsu,Bensin,Jakarta Timur ,xenia,52000.0,95 ,Manual,2016
Daihatsu,Bensin,Malang ,xenia,32000.0,145 ,Manual,2017
Daihatsu,Bensin,Jl. Kelapa Dua Raya ,xenia,18000.0,122 ,Manual,2018
Daihatsu,Bensin,Tangerang ,xenia,18000.0,123 ,Manual,2018
Daihatsu,Bensin,Malang ,xenia,1.0,94.7 ,Manual,2010
Daihatsu,Bensin,Kota Jakarta Timur ,xenia,55000.0,102.5 ,Manual,2016
Daihatsu,Bensin,Jakarta Timur ,xenia,106000.0,97.5 ,Manual,2015
Daihatsu,Bensin,Tangerang ,xenia,123000000.0,78 ,Manual,2012
Daihatsu,Bensin,Tangerang ,xenia,44000.0,103.5 ,Otomatis,2018
Daihatsu,Bensin,Malang ,xenia,35000.0,145 ,Otomatis,2018
Daihatsu,Bensin,Kabupaten Sidoarjo ,xenia,108000.0,97 ,Manual,2016
Daihatsu,Bensin,Tangerang ,xenia,55000.0,124 ,Manual,2017
Daihatsu,Bensin,Tangerang ,xenia,27000.0,114 ,Manual,2018
Daihatsu,Bensin,Tangerang ,xenia,19000.0,138 ,Manual,2019
Daihatsu,Bensin,Tangerang ,xenia,13000.0,112 ,Manual,2018
Nissan,Bensin,Jakarta Pusat ,serena,96000.0,99 ,Otomatis,2010
Daihatsu,Bensin,Kabupaten Sidoarjo ,xenia,108000.0,76 ,Manual,2009
Daihatsu,Bensin,Surabaya ,xenia,83000.0,84 ,Manual,2012
Daihatsu,Bensin,Surabaya ,xenia,89000.0,89 ,Manual,2013
Daihatsu,Bensin,Surabaya ,xenia,91000.0,89 ,Manual,2013
Nissan,Bensin,Kota Tgr. Sel. ,serena,100000.0,197 ,Otomatis,2015
Nissan,Bensin,Jakarta Timur ,serena,98000.0,83 ,Otomatis,2010
Nissan,Bensin,Indonesia ,serena,46000.0,147 ,Otomatis,2013
Nissan,Bensin,Tangerang ,serena,43000.0,200 ,Otomatis,2015
Daihatsu,Bensin,Kabupaten Sidoarjo ,xenia,74000.0,95 ,Manual,2013
Daihatsu,Bensin,Surabaya ,xenia,75000.0,98 ,Manual,2014
Daihatsu,Bensin,Kabupaten Sidoarjo ,xenia,79000.0,100 ,Manual,2012
Honda,Bensin,Kota Tgr. Sel. ,jazz,60000.0,178 ,Otomatis,2015
Nissan,Bensin,Tangerang ,serena,78000.0,165 ,Otomatis,2015
Nissan,Bensin,Jakarta Timur ,serena,60178.0,177.5 ,Otomatis,2015
Nissan,Bensin,Tangerang ,serena,84000.0,225 ,Otomatis,2015
Nissan,Bensin,Tangerang ,serena,92000.0,165 ,Otomatis,2015
Daihatsu,Bensin,Surabaya ,xenia,81000.0,98 ,Manual,2012
Daihatsu,Bensin,Tangerang ,xenia,29000.0,108 ,Manual,2018
Daihatsu,Bensin,Kabupaten Sidoarjo ,xenia,1.0,78 ,Manual,2006
Daihatsu,Bensin,Indonesia ,xenia,95000.0,98.5 ,Manual,2015
Suzuki,Bensin,Jakarta Pusat ,swift,68000.0,89 ,Manual,2008
Honda,Bensin,Kota Tgr. Sel. ,jazz,39000.0,212 ,Otomatis,2017
Honda,Bensin,Kota Tgr. Sel. ,jazz,80000.0,192 ,Otomatis,2017
Honda,Bensin,Indonesia ,jazz,80000.0,130 ,Otomatis,2012
Honda,Bensin,Bekasi ,jazz,48000.0,187 ,Otomatis,2016
Nissan,Bensin,Malang ,serena,1.0,105 ,Otomatis,2005
Nissan,Bensin,Jl. Boulevard Raya Gading Serpong ,serena,115000.0,85 ,Otomatis,2011
Nissan,Bensin,Mangga Dua Plaza ,serena,70000.0,146 ,Otomatis,2013
Nissan,Bensin,DKI Jakarta ,serena,70000.0,139.5 ,Otomatis,2014
Suzuki,Bensin,Jakarta Timur ,ertiga,43000.0,108 ,Manual,2017
Daihatsu,Bensin,Sidoarjo ,xenia,1.0,112 ,Manual,2012
Daihatsu,Bensin,Malang ,xenia,1.0,145 ,Manual,2017
Daihatsu,Bensin,Malang ,xenia,1.0,125 ,Manual,2016
Toyota,Bensin,Jakarta Pusat ,avanza,125000.0,105 ,Otomatis,2015
Suzuki,Bensin,Jakarta Pusat ,swift,68000.0,89 ,Manual,2008
Suzuki,Bensin,Jakarta Barat ,swift,78000.0,109 ,Manual,2013
Suzuki,Bensin,Malang ,swift,48000.0,136 ,Manual,2012
Suzuki,Bensin,Malang ,swift,122000.0,89 ,Manual,2006
Toyota,Bensin,Jakarta Pusat ,sienta,38950.0,169 ,Otomatis,2016
Nissan,Bensin,Kabupaten Sidoarjo ,livina,161000.0,82.5 ,Otomatis,2010
Honda,Bensin,Malang ,jazz,83000.0,144.5 ,Otomatis,2009
Honda,Bensin,Malang ,jazz,35000.0,190 ,Manual,2014
Honda,Bensin,Malang ,jazz,1.0,145 ,Otomatis,2011
Honda,Bensin,Malang ,jazz,1.0,146 ,Otomatis,2011
Nissan,Bensin,Indonesia ,serena,1.0,175 ,Otomatis,2013
Nissan,Bensin,Indonesia ,serena,79000.0,240 ,Otomatis,2015
Nissan,Bensin,Bekasi ,serena,12000.0,318 ,Otomatis,2019
Nissan,Bensin,Indonesia ,serena,106000.0,90 ,Otomatis,2010
Suzuki,Bensin,Malang ,ertiga,33000.0,142.5 ,Otomatis,2014
Suzuki,Bensin,Kota Jakarta Timur ,ertiga,35123.0,133 ,Otomatis,2017
Suzuki,Bensin,Bekasi ,ertiga,70000.0,143 ,Otomatis,2017
Suzuki,Bensin,Bekasi ,ertiga,70000.0,110 ,Manual,2013
Toyota,Bensin,Jakarta Pusat ,avanza,111000.0,85 ,Manual,2004
Toyota,Bensin,Malang ,avanza,26000.0,160 ,Manual,2015
Toyota,Bensin,Jakarta Pusat ,avanza,110000.0,85 ,Manual,2004
Toyota,Bensin,Tangerang ,avanza,30000.0,127.5 ,Otomatis,2018
Suzuki,Bensin,Malang ,swift,1.0,135 ,Manual,2013
Suzuki,Bensin,Kabupaten Sidoarjo ,swift,98000.0,86 ,Manual,2009
Suzuki,Bensin,Malang ,swift,1.0,115 ,Manual,2010
Suzuki,Bensin,Bekasi ,swift,57500.0,125 ,Otomatis,2013
Toyota,Bensin,Jakarta Utara ,sienta,33000.0,169 ,Otomatis,2017
Toyota,Bensin,Tangerang ,sienta,42000.0,165.5 ,Otomatis,2018
Toyota,Bensin,Tangerang ,sienta,18000.0,179.5 ,Otomatis,2019
Toyota,Bensin,Tangerang ,sienta,31000.0,152.5 ,Otomatis,2016
Nissan,Bensin,Kabupaten Sidoarjo ,livina,124000.0,85 ,Otomatis,2011
Nissan,Bensin,Kabupaten Sidoarjo ,livina,1.0,80 ,Manual,2008
Nissan,Bensin,Bandung ,livina,50000.0,122.5 ,Manual,2013
Nissan,Bensin,Indonesia ,livina,126000.0,85 ,Manual,2012
Honda,Bensin,Malang ,jazz,1.0,196 ,Otomatis,2017
Honda,Bensin,Malang ,jazz,87000.0,138.5 ,Otomatis,2010
Honda,Bensin,Bekasi ,jazz,25500.0,169 ,Otomatis,2015
Honda,Bensin,Tangerang ,jazz,18000.0,219.5 ,Otomatis,2018
Nissan,Bensin,ID ,serena,85000.0,116 ,Otomatis,2012
Nissan,Bensin,Indonesia ,serena,71000.0,215 ,Otomatis,2015
Nissan,Bensin,Medan ,serena,1.0,169 ,Otomatis,2013
Nissan,Bensin,Cirebon ,serena,48000.0,225 ,Otomatis,2015
Suzuki,Bensin,Jakarta Timur ,ertiga,24000.0,130 ,Manual,2017
Suzuki,Bensin,Jakarta Timur ,ertiga,98000.0,110 ,Otomatis,2014
Suzuki,Bensin,Jakarta Timur ,ertiga,87000.0,117.5 ,Manual,2015
Suzuki,Bensin,Tangerang ,ertiga,16000.0,137 ,Manual,2019
Toyota,Bensin,Tangerang ,avanza,31000.0,127.5 ,Otomatis,2018
Toyota,Bensin,Kota Jakarta Timur ,avanza,140123.0,78 ,Manual,2007
Toyota,Bensin,Bekasi ,avanza,79000.0,120 ,Manual,2015
Toyota,Bensin,Bekasi ,avanza,60000.0,135 ,Manual,2016
Suzuki,Bensin,Kabupaten Sleman ,swift,88000.0,125 ,Otomatis,2013
Suzuki,Bensin,Bekasi ,swift,51130.0,120 ,Otomatis,2014
Suzuki,Bensin,Indonesia ,swift,1.0,98 ,Manual,2009
Suzuki,Bensin,Kabupaten Sleman ,swift,22791.0,163 ,Otomatis,2016
Toyota,Bensin,Bekasi ,sienta,30000.0,140 ,Manual,2017
Toyota,Bensin,Bekasi ,sienta,39430.0,167 ,Otomatis,2017
Toyota,Bensin,Malang ,sienta,12000.0,185 ,Manual,2017
Nissan,Bensin,Sleman ,livina,35000.0,80 ,Manual,2009
Nissan,Bensin,Indonesia ,livina,86000.0,72 ,Manual,2010
Nissan,Bensin,Indonesia ,livina,1.0,85 ,Otomatis,2010
Nissan,Bensin,Indonesia ,livina,8000.0,200.5 ,Otomatis,2019
Honda,Bensin,Tangerang ,jazz,49000.0,155 ,Otomatis,2016
Honda,Bensin,Tangerang ,jazz,57000.0,189.5 ,Otomatis,2017
Honda,Bensin,Surabaya ,jazz,118000.0,78 ,Otomatis,2007
Honda,Bensin,Malang ,jazz,33000.0,230 ,Otomatis,2016
Nissan,Bensin,Serang ,serena,134000.0,95 ,Otomatis,2012
Nissan,Bensin,Kota Jakarta Barat ,serena,100000.0,137 ,Otomatis,2013
Nissan,Bensin,Bekasi ,serena,150000.0,160 ,Otomatis,2013
Suzuki,Bensin,Tangerang ,ertiga,33000.0,138.5 ,Manual,2019
Suzuki,Bensin,Bantul ,ertiga,73000.0,130 ,Manual,2018
Suzuki,Bensin,Kabupaten Sidoarjo ,ertiga,60000.0,119 ,Otomatis,2013
Suzuki,Bensin,Kabupaten Sidoarjo ,ertiga,57000.0,115 ,Manual,2014
Toyota,Bensin,Depok ,avanza,1.0,135 ,Otomatis,2015
Toyota,Bensin,Depok ,avanza,1.0,143 ,Manual,2016
Toyota,Bensin,Depok ,avanza,60000.0,153 ,Otomatis,2016
Toyota,Bensin,Malang ,avanza,40000.0,117.5 ,Manual,2015
Suzuki,Bensin,Kota Jkt Utara ,swift,34000.0,109 ,Manual,2014
Suzuki,Bensin,Palembang ,swift,1.0,120 ,Manual,2013
Suzuki,Bensin,Indonesia ,swift,1.0,150 ,Otomatis,2014
Toyota,Bensin,Tangerang ,sienta,12000.0,139.5 ,Manual,2018
Toyota,Bensin,Tangerang ,sienta,55000.0,155 ,Otomatis,2016
Toyota,Bensin,Tangerang ,sienta,39000.0,154 ,Otomatis,2017
Toyota,Bensin,Malang ,sienta,16000.0,195 ,Manual,2017
Nissan,Bensin,Jakarta Pusat ,livina,5000.0,205 ,Otomatis,2019
Nissan,Bensin,Semarang ,livina,60000.0,110 ,Otomatis,2013
Nissan,Bensin,Medan ,livina,100000.0,78 ,Otomatis,2008
Nissan,Bensin,Semarang ,livina,8092.0,230 ,Otomatis,2019
Honda,Bensin,Malang ,jazz,20000.0,190 ,Manual,2015
Honda,Bensin,Kota SBY ,jazz,1.0,153 ,Otomatis,2012
Honda,Bensin,Kabupaten Sidoarjo ,jazz,143000.0,74.75 ,Manual,2006
Honda,Bensin,Mojokerto ,jazz,30000.0,195 ,Otomatis,2015
Nissan,Bensin,Indonesia ,serena,5000.0,380 ,Otomatis,2019
Nissan,Bensin,Kota Jakarta Timur ,serena,69000.0,238 ,Otomatis,2016
Nissan,Bensin,Indonesia ,serena,51500.0,170 ,Otomatis,2016
Nissan,Bensin,Bandung ,serena,104000.0,115 ,Otomatis,2011
Suzuki,Bensin,Kabupaten Sidoarjo ,ertiga,1200.0,191.5 ,Otomatis,2019
Suzuki,Bensin,Kota SBY ,ertiga,57000.0,143 ,Manual,2017
Suzuki,Bensin,DKI Jakarta ,ertiga,20000.0,136 ,Otomatis,2017
Suzuki,Bensin,Kabupaten Sidoarjo ,ertiga,58000.0,127.5 ,Manual,2014
Toyota,Bensin,Sidoarjo ,avanza,96000.0,139 ,Manual,2016
Toyota,Bensin,Malang ,avanza,80000.0,135 ,Otomatis,2014
